uid,name,city,state,country,latitude,longitude,url
655,St. Eustace the Great-Martyr Mission,", AL",AL,United States,32.3182314,-86.902298,https://directory.stinnocentpress.com/viewparish.cgi?Uid=655&lang=en
545,St John Cassian Chapel,"Bessemer, AL",AL,United States,33.3115331,-86.9529822,https://directory.stinnocentpress.com/viewparish.cgi?Uid=545&lang=en
534,St. Xenia the Blessed,"Huntsville, AL",AL,United States,34.7202223,-86.6060029,https://directory.stinnocentpress.com/viewparish.cgi?Uid=534&lang=en
647,Dormition Greek Church,"Madison, AL",AL,United States,43.0999919,-89.3497128,https://directory.stinnocentpress.com/viewparish.cgi?Uid=647&lang=en
520,Holy Trinity Orthodox Christian Church,"Midland City, AL",AL,United States,31.3175963,-85.4889445,https://directory.stinnocentpress.com/viewparish.cgi?Uid=520&lang=en
521,St. Martin of Tours Mission,"Montgomery, AL",AL,United States,32.3741582,-86.1682885,https://directory.stinnocentpress.com/viewparish.cgi?Uid=521&lang=en
210,St. James the Just Orthodox Church,", AK",AK,United States,63.588753,-154.4930619,https://directory.stinnocentpress.com/viewparish.cgi?Uid=210&lang=en
682,Holy Transfiguration Orthodox Church,", AZ",AZ,United States,36.3400904,-92.385217,https://directory.stinnocentpress.com/viewparish.cgi?Uid=682&lang=en
654,St. Brendon Orthodox Church,"Bullhead City, AZ",AZ,United States,35.1001893,-114.6248339,https://directory.stinnocentpress.com/viewparish.cgi?Uid=654&lang=en
657,Russian Orthodox Mission,"Florence, AZ",AZ,United States,33.0314508,-111.3873431,https://directory.stinnocentpress.com/viewparish.cgi?Uid=657&lang=en
66,Holy Archangels Church,"Phoenix, AZ",AZ,United States,33.3715409,-112.0382986,https://directory.stinnocentpress.com/viewparish.cgi?Uid=66&lang=en
459,Holy Stavropegial Monastery of St. Anthony the Great,"Phoenix, AZ",AZ,United States,33.483751,-112.024069,https://directory.stinnocentpress.com/viewparish.cgi?Uid=459&lang=en
650,St. Nicholas Orthodox Church,"Prescott Valley, AZ",AZ,United States,34.5791561,-112.3533822,https://directory.stinnocentpress.com/viewparish.cgi?Uid=650&lang=en
